rank,year,airport,code (iata/icao),location,country,total passengers,address,latitude,longitude,lat lng
28,2010,Miami International Airport,MIA/KMIA,"Miami-Dade County, Florida",United States,35698025,"Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA",25.7958723,-80.2870509,"[25.7958723, -80.2870509]"
29,2010,Orlando International Airport,MCO/KMCO,"Orlando, Florida",United States,34877899,"Orlando International Airport (MCO), 1 Jeff Fuqua Blvd, Orlando, FL 32827, USA",28.4311577,-81.308083,"[28.4311577, -81.308083]"
30,2010,Munich Airport,MUC/EDDM,"Munich, Bavaria",Germany,34721605,"Munich International Airport (MUC), Nordallee 25, 85356 München, Germany",48.3536621,11.7750279,"[48.3536621, 11.7750279]"
31,2010,Kuala Lumpur International Airport,KUL/WMKK,"Sepang, Selangor",Malaysia,34087636,"Kuala Lumpur Int'l Airport (KUL), 64000 Sepang, Selangor, Malaysia",2.7455962,101.7071602,"[2.7455962, 101.7071602]"
32,2010,Narita International Airport,NRT/RJAA,"Narita, Chiba",Japan,33815906,"Narita International Airport (NRT), 1-1 Furugome, Narita, Chiba 282-0004, Japan",35.7719867,140.3928501,"[35.7719867, 140.3928501]"
33,2010,Seoul Incheon International Airport,ICN/RKSI,Incheon,Republic of Korea,33605579,"Incheon International Airport (ICN), 272 Gonghang-ro, Jung-gu, Incheon, South Korea",37.4601908,126.4406957,"[37.4601908, 126.4406957]"
34,2010,Newark Liberty International Airport,EWR/KEWR,"Newark, New Jersey",United States,33133852,"Newark Liberty International Airport (EWR), 3 Brewster Rd, Newark, NJ 07114, USA",40.6895314,-74.1744624,"[40.6895314, -74.1744624]"
35,2010,Minneapolis-Saint Paul International Airport,MSP/KMSP,"Fort Snelling, Minnesota",United States,32749649,"Minneapolis−Saint Paul International Airport (MSP), Minnesota, USA",44.8847554,-93.2222846,"[44.8847554, -93.2222846]"
36,2010,Detroit Metropolitan Wayne County Airport,DTW/KDTW,"Detroit, Michigan",United States,32377064,"Detroit Metropolitan Wayne County Airport (DTW), Detroit, MI 48242, USA",42.2161722,-83.3553842,"[42.2161722, -83.3553842]"
37,2010,Atat rk International Airport,IST/LTBA,"Yesilköy, Istanbul",Turkey,32165817,not found,not found,not found,"['not found', 'not found']"
38,2010,Toronto Pearson International Airport,YYZ/CYYZ,"Mississauga, Ontario",Canada,31937895,"Toronto Pearson International Airport (YYZ), 6301 Silver Dart Dr, Mississauga, ON L5P 1B2, Canada",43.67771760000001,-79.6248197,"[43.67771760000001, -79.6248197]"
39,2010,Seattle-Tacoma International Airport,SEA/KSEA,"SeaTac, Washington",United States,31553166,"Seattle-Tacoma International Airport (SEA), 17801 International Blvd, Seattle, WA 98158, USA",47.4502499,-122.3088165,"[47.4502499, -122.3088165]"
40,2010,London Gatwick Airport,LGW/EGKK,"Crawley, West Sussex, England",United Kingdom,31378644,"Gatwick Airport (LGW), Horley, Gatwick RH6 0NP, UK",51.1536621,-0.1820629,"[51.1536621, -0.1820629]"
41,2010,Shanghai Hongqiao International Airport,SHA/ZSSS,"Changning-Minhang, Shanghai",China,31298812,"Shanghai Hongqiao International Airport, 2550 Hongqiao Rd, Changning, China",31.192209,121.334297,"[31.192209, 121.334297]"
42,2010,Philadelphia International Airport,PHL/KPHI,"Philadelphia, Pennsylvania",United States,30775271,"Philadelphia International Airport (PHL), 8000 Essington Ave, Philadelphia, PA 19153, USA",39.8743959,-75.2424229,"[39.8743959, -75.2424229]"
43,2010,Barcelona Airport,BCN/LEBL,"Barcelona, Catalonia",Spain,29197135,"Josep Tarradellas Barcelona-El Prat Airport (BCN), 08820 El Prat de Llobregat, Barcelona, Spain",41.297445,2.0832941,"[41.297445, 2.0832941]"
44,2010,Indira Gandhi International Airport,DEL/VIDP,Delhi,India,28531607,"Indira Gandhi International Airport (DEL), New Delhi, Delhi 110037, India",28.5561624,77.0999578,"[28.5561624, 77.0999578]"
45,2010,Chhatrapati Shivaji International Airport,BOM/VABB,"Mumbai, Maharashtra",India,28137797,"Chhatrapati Shivaji International Airport (BOM), Mumbai, Maharashtra 400099, India",19.0895595,72.8656144,"[19.0895595, 72.8656144]"
46,2010,Melbourne Airport,MEL/YMML,"Melbourne, Victoria",Australia,27731252,"Orlando Melbourne International Airport (MLB), 1 Air Terminal Pkwy, Melbourne, FL 32901, USA",28.1012659,-80.645078,"[28.1012659, -80.645078]"
47,2010,S o Paulo-Guarulhos International Airport,GRU/SBGR,"Guarulhos, São Paulo",Brazil,27432346,"Sao Paulo International Airport (GRU) - Rod. Hélio Smidt, s/nº - Aeroporto, Guarulhos - SP, 07190-100, Brazil",-23.4305731,-46.473043,"[-23.4305731, -46.473043]"
48,2010,Logan International Airport,BOS/KBOS,"Boston, Massachusetts",United States,27429152,"Boston Logan International Airport (BOS), 1 Harborside Dr, Boston, MA 02128, USA",42.3656132,-71.0095602,"[42.3656132, -71.0095602]"
49,2010,Ninoy Aquino International Airport,MNL/RPLL,"Pasay/Parañaque, Metro Manila",Philippines,27148724,"Ninoy Aquino International Airport (MNL), Pasay, 1300 Metro Manila, Philippines",14.5122739,121.016508,"[14.5122739, 121.016508]"
50,2010,Shenzhen Bao'an International Airport,SZX/ZGSZ,"Bao'an, Shenzhen, Guangdong",China,26713610,"Shenzhen Bao'an International Airport, Baoan Qu, Shenzhen Shi, Guangdong Sheng, China",22.636828,113.814606,"[22.636828, 113.814606]"
